"","Ubigeo","Distrito","por_ur"
"1","010101","Dpto. Amazonas   Prov. Chachapoyas   Dist. Chachapoyas",96.92
"6","010102","Dpto. Amazonas   Prov. Chachapoyas   Dist. Asunci<U+00F3>n",51.9
"11","010103","Dpto. Amazonas   Prov. Chachapoyas   Dist. Balsas",18.49
"16","010104","Dpto. Amazonas   Prov. Chachapoyas   Dist. Cheto",64.95
"21","010105","Dpto. Amazonas   Prov. Chachapoyas   Dist. Chiliquin",26.79
"26","010106","Dpto. Amazonas   Prov. Chachapoyas   Dist. Chuquibamba",30.04
"31","010107","Dpto. Amazonas   Prov. Chachapoyas   Dist. Granada",33.57
"36","010108","Dpto. Amazonas   Prov. Chachapoyas   Dist. Huancas",99.26
"41","010109","Dpto. Amazonas   Prov. Chachapoyas   Dist. La Jalca",43.99
"46","010110","Dpto. Amazonas   Prov. Chachapoyas   Dist. Leimebamba",47.4
"51","010111","Dpto. Amazonas   Prov. Chachapoyas   Dist. Levanto",51.32
"56","010112","Dpto. Amazonas   Prov. Chachapoyas   Dist. Magdalena",78.86
"61","010113","Dpto. Amazonas   Prov. Chachapoyas   Dist. Mariscal Castilla",48.14
"66","010114","Dpto. Amazonas   Prov. Chachapoyas   Dist. Molinopampa",26.31
"71","010115","Dpto. Amazonas   Prov. Chachapoyas   Dist. Montevideo",89.58
"76","010116","Dpto. Amazonas   Prov. Chachapoyas   Dist. Olleros",29.3
"81","010117","Dpto. Amazonas   Prov. Chachapoyas   Dist. Quinjalca",15.31
"86","010118","Dpto. Amazonas   Prov. Chachapoyas   Dist. San Francisco de Daguas",75.5
"91","010119","Dpto. Amazonas   Prov. Chachapoyas   Dist. San Isidro de Maino",68.95
"96","010120","Dpto. Amazonas   Prov. Chachapoyas   Dist. Soloco",21.09
"101","010121","Dpto. Amazonas   Prov. Chachapoyas   Dist. Sonche",44.74
"106","010201","Dpto. Amazonas   Prov. Bagua   Dist. La Peca",81.24
"111","010202","Dpto. Amazonas   Prov. Bagua   Dist. Aramango",23.22
"116","010203","Dpto. Amazonas   Prov. Bagua   Dist. Copallin",30.33
"121","010204","Dpto. Amazonas   Prov. Bagua   Dist. El Parco",51.1
"126","010205","Dpto. Amazonas   Prov. Bagua   Dist. Imaza",13.07
